date,stock_id,volume,Trading_money,open,high,low,close,spread,Trading_turnover,TAIEX_return,SMA_10,SMA_20,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0_2.0,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0,OBV,future_change,target
2025-03-07,2308,9283003,3503241250,381.5,381.5,375.0,375.0,-8.5,14564,-0.006135036844999164,389.00000000000006,394.87500000000006,37.18748005750733,-7.876226179318849,-1.7156081006714912,-6.160618078647357,373.9091756786421,394.87500000000006,415.840824321358,10.618967684131919,0.02601434373955603,672123332.0,0.009333333333333416,0
2025-03-10,2308,6133006,2314909172,375.0,381.0,375.0,375.5,0.5,6323,-0.005178935040509591,386.95000000000005,392.90000000000003,37.5579620785499,-8.316960341164531,-1.7250738100137388,-6.591886531150792,372.4817419166507,392.90000000000003,413.31825808334935,10.39361572071739,0.07391076337238117,678256338.0,0.04926764314247678,1
2025-03-11,2308,9688806,3589597429,372.0,373.5,365.5,370.5,-5.0,12665,-0.01727848115356112,384.45000000000005,391.20000000000005,35.31479174322987,-8.96634510795343,-1.8995668614421097,-7.06677824651132,369.2445426997404,391.20000000000005,413.1554573002597,11.224671421400632,0.028591007763813382,668567532.0,0.07962213225371118,1
2025-03-12,2308,13619884,5236394059,371.5,389.5,371.5,387.5,17.0,13878,0.009391017842798055,383.90000000000003,390.475,46.92223263876143,-8.016816419734369,-0.7600305385784383,-7.25678588115593,369.07043826287816,390.475,411.8795617371219,10.963345534091486,0.4305054680273951,682187416.0,0.007741935483871032,0
2025-03-13,2308,11619792,4564628503,392.5,398.0,388.0,388.5,1.0,11263,-0.014214690847979883,382.85,389.84999999999997,47.51881566029783,-7.101751875748164,0.12402720432621361,-7.2257790800743775,369.01708070585977,389.84999999999997,410.68291929414016,10.687658994043964,0.4675993560734503,693807208.0,0.01287001287001277,0
2025-03-14,2308,9504845,3613191597,385.0,386.0,377.0,378.5,-10.0,10634,0.0002900506700762584,380.50000000000006,388.525,42.38800589957693,-7.101610117630742,0.09933516995490965,-7.200945287585651,368.3899951315376,388.525,408.66000486846235,10.364843893423782,0.25105543640314143,684302363.0,0.04623513870541607,1
2025-03-17,2308,12188489,4786985999,385.0,396.0,383.0,394.0,15.5,13161,0.006854500058038893,380.9000000000001,388.175,51.18595565158837,-5.784101787280861,1.1334748002438326,-6.917576587524693,368.72120859574227,388.175,407.62879140425775,10.023206751726795,0.6497137467693085,696490852.0,-0.005076142131979711,0
2025-03-18,2308,8481895,3365038851,393.0,400.0,392.5,400.0,6.0,9484,0.006919054209053588,383.1500000000001,387.875,54.107512893659305,-4.207317747408069,2.1682070720933,-6.375524819501369,369.419149408575,387.875,406.330850591425,9.516390894708357,0.8284866210835476,704972747.0,-0.020000000000000018,-1
2025-03-19,2308,7045784,2770151217,398.0,400.0,390.5,390.5,-9.5,7354,-0.013956744150752765,384.3500000000001,387.85,49.097006085275055,-3.681833753235253,2.154952853012894,-5.836786606248147,369.41062565280043,387.85,406.2893743471996,9.50850810736088,0.5718571018219617,697926963.0,0.02176696542893719,1
2025-03-20,2308,8096266,3202229245,391.0,401.0,391.0,393.5,3.0,6943,0.01896239805143951,385.3500000000001,387.92500000000007,50.651123016315736,-2.9888553104704556,2.278345036622153,-5.267200347092609,369.40253852891743,387.92500000000007,406.4474614710827,9.549506461858675,0.6504929571240747,706023229.0,-0.003811944091486663,0
2025-03-21,2308,9864363,3896791782,392.5,398.0,390.0,396.0,2.5,5466,-0.007514771692334055,387.4500000000001,388.225,51.967201216607265,-2.2124322534841667,2.4438144748867536,-4.65624672837092,369.3696643039458,388.225,407.08033569605425,9.713612310414952,0.7061750616730472,715887592.0,-0.0492424242424242,-1
2025-03-24,2308,10204406,4065738772,400.0,406.0,392.0,392.0,-4.0,7844,-0.004613424227006058,389.1,388.02500000000003,49.6840932186769,-1.8979990065178072,2.2065981774824905,-4.104597184000298,369.43390139424804,388.02500000000003,406.61609860575203,9.582423094260418,0.6069060006698614,705683186.0,-0.08163265306122447,-1
2025-03-25,2308,4709909,1847717930,392.5,395.5,390.5,392.0,0.0,5016,0.007533935505350309,391.25,387.8500000000001,49.6840932186769,-1.630018553692139,1.9796629042465272,-3.6096814579386662,369.49072011501795,387.8500000000001,406.2092798849822,9.467206334914078,0.6130218621318207,705683186.0,-0.0535714285714286,-1
2025-03-26,2308,9663861,3849588341,396.5,400.5,394.0,399.0,7.0,9557,-0.0005791716408829473,392.4,388.1500000000001,53.803316569425775,-0.8430820900401841,2.213279494318786,-3.05636158435897,369.24831530760036,388.1500000000001,407.0516846923998,9.739371218549387,0.7870114536500188,715347047.0,-0.07393483709273185,-1
2025-03-27,2308,5235582,2050281828,395.0,395.0,381.5,392.0,-7.0,5645,-0.013860106943800021,392.74999999999994,387.80000000000007,49.44409307539658,-0.7753332129335035,1.8248226971403736,-2.600155910073877,369.4944069519047,387.80000000000007,406.10559304809544,9.440739065546865,0.6147190366617739,710111465.0,-0.15051020408163263,-1
2025-03-28,2308,9839778,3731621396,383.0,386.5,375.0,376.5,-15.5,15288,-0.015892575356144523,392.55,386.5250000000001,41.43805282345077,-1.949885138699699,0.5202166170993427,-2.4701017557990417,368.8421953879556,386.5250000000001,404.2078046120446,9.149630482915459,0.2165325235463031,700271687.0,-0.18990703851261626,-1
2025-03-31,2308,9089289,3305394560,365.0,369.5,360.0,360.0,-16.5,13834,-0.0419846603857168,389.1499999999999,385.0250000000001,34.95033910994982,-4.164136531950135,-1.3552278209208741,-2.8089087110292605,363.8404102681776,385.0250000000001,406.2095897318226,11.004267116069075,-0.09064160120147913,691182398.0,-0.22083333333333333,-1
2025-04-01,2308,6303543,2314093740,365.0,371.5,362.5,371.0,11.0,6162,0.02823119555080944,386.25,384.7000000000001,41.52340299382374,-4.974001452223831,-1.7320741929556567,-3.2419272592681745,362.84064093007896,384.7000000000001,406.55935906992124,11.364366555716732,0.1866330811397956,697485941.0,-0.16846361185983827,-1
2025-04-02,2308,3560122,1316138816,365.0,373.5,364.0,369.5,-1.5,4007,0.0008482075096205577,384.15000000000003,384.2500000000001,40.916244825401364,-5.6714853475696145,-1.943646470641152,-3.7278388769284625,361.50079527126616,384.2500000000001,406.99920472873407,11.840835252431464,0.17581284322063018,693925819.0,-0.09336941813261168,-1
2025-04-07,2308,2702060,899785980,333.0,333.0,333.0,333.0,-36.5,5131,-0.09699730775623516,378.1,381.7250000000001,29.58143136672756,-9.064995688965098,-4.269725449629308,-4.79527023933579,349.4213827998953,381.7250000000001,414.02861720010486,16.925072866647337,-0.2541725079605332,691223759.0,-0.009009009009009028,0
2025-04-08,2308,28828129,8725188107,300.5,311.0,300.0,305.0,-28.0,25795,-0.04016149872480468,369.0,378.2250000000001,24.072269881871645,-13.854042301865093,-7.247017650023443,-6.60702465184165,331.08972435079335,378.2250000000001,425.3602756492068,24.924463295237874,-0.2767537050696385,662395630.0,0.08360655737704925,1
2025-04-09,2308,17454496,5044888760,293.0,304.5,275.0,280.5,-24.5,22380,-0.057865270490982,357.85,373.475,20.478451199485917,-19.402679479472056,-10.236523862104324,-9.166155617367732,309.16532568480307,373.475,437.784674315197,34.43854304314717,-0.2228694670751053,644941134.0,0.142602495543672,1
2025-04-10,2308,3756951,1159019204,308.5,308.5,308.5,308.5,28.0,1706,0.09247310220472227,349.50000000000006,370.375,32.82206675506433,-21.29517094934107,-9.70321226557867,-11.5919586837624,299.79031774937675,370.375,440.95968225062325,38.11525197468687,0.06169668809797852,648698085.0,0.02269043760129663,1
2025-04-11,2308,22276600,7124128162,306.5,335.0,300.5,335.0,26.5,28090,0.027828377113088942,343.1,367.74999999999994,41.998416055517566,-20.421252061639166,-7.063434702301413,-13.357817359337753,295.9524043797948,367.74999999999994,439.5475956202051,39.046958868908305,0.2719282956685564,670974685.0,-0.04626865671641789,-1
2025-04-14,2308,17883868,6027727171,349.5,350.0,328.0,330.0,-5.0,18248,-0.0008029179513098228,336.90000000000003,364.82499999999993,40.86420172160483,-19.902697354047746,-5.235903995767993,-14.666793358279753,291.83020927021835,364.82499999999993,437.8197907297815,40.016331517731295,0.26145558024189613,653090817.0,-0.054545454545454564,-1
2025-04-15,2308,7304809,2408460013,329.5,332.5,324.0,330.5,0.5,10436,0.017658915118005325,332.3,362.42499999999995,41.03569066290824,-19.229724892498268,-3.650345227374812,-15.579379665123456,288.1777069428373,362.42499999999995,436.6722930571626,40.97250082481212,0.2850089970591855,660395626.0,-0.062027231467473576,-1
2025-04-16,2308,7393291,2393263638,325.0,327.5,320.5,320.5,-10.0,8408,-0.01962314813369337,328.35,358.74999999999994,38.623289161708065,-19.281045899631977,-2.9613329876068164,-16.31971291202516,283.8103751782712,358.74999999999994,433.68962482172867,41.77818805392543,0.2447945590133955,653002335.0,0.02808112324492984,1
2025-04-17,2308,12774866,3996947244,313.5,316.5,307.0,315.5,-5.0,12417,-0.006640127388535033,322.8,354.5249999999999,37.438182901897875,-19.500388045965963,-2.544540107152642,-16.95584793881332,279.8499319419519,354.5249999999999,429.2000680580479,42.1268277599876,0.238701275975643,640227469.0,0.034865293185419866,1
2025-04-18,2308,2490057,791396663,316.0,320.0,315.0,319.5,4.0,3319,0.002911256323450351,317.8,350.975,39.04942396433359,-19.13092234242754,-1.7400595228913716,-17.390862819536167,276.7516705706396,350.975,425.19832942936046,42.29550790190779,0.28797097730602816,642717526.0,0.03442879499217533,1
2025-04-21,2308,3296876,1035163013,316.5,319.0,309.5,312.0,-7.5,4883,-0.014891959434968571,315.70000000000005,346.9,37.11908158796889,-19.221729300140396,-1.4646931844833802,-17.757036115657016,273.56328556438496,346.9,420.236714435615,42.28118445408765,0.2620564251576885,639420650.0,0.09134615384615374,1
2025-04-22,2308,4559786,1422440299,308.5,317.0,308.5,310.0,-2.0,4943,-0.016370078822581124,316.20000000000005,342.6,36.599506454830575,-19.23336746586824,-1.1810650801689775,-18.052302385699264,271.32913048021874,342.6,413.8708695197813,41.605878295260524,0.27129505911982826,634860864.0,0.09677419354838701,1
2025-04-23,2308,7258477,2361484857,316.5,331.5,314.5,329.5,19.5,8208,0.04500030063697791,321.1,339.4750000000001,44.723685948090484,-17.467746456499754,0.4676447433596067,-17.93539119985936,271.94140212378966,339.4750000000001,407.0085978762105,39.787081744582316,0.4261478707362495,642119341.0,0.012139605462822445,0
